date	authors	isbn	title
November 2015	['Ryan Betts', 'John Hugg']	0636920045809	Fast Data: Smart and at Scale
November 2015	['C.J. Date']	0636920046158	SQL and Relational Theory, 3rd Edition
November 2015	['Federico Castanedo']	0636920045120	Data Preparation in the Big Data Era
November 2015	['Benjamin Bengfort', 'Jenny Kim']	0636920035275	Data Analytics with Hadoop
October 2015	['Gregory Lee']	9781629598413	Business Statistics Made Easy in SAS
October 2015	['Vinay Singh']	9781782174110	Real Time Analytics with SAP HANA
October 2015	['Arun Manivannan']	9781784396749	Scala Data Analysis Cookbook
October 2015	['Cory Lesmeister']	9781783984527	Mastering Machine Learning with R
October 2015	['Dr. Hari M. Koduvely']	9781783987603	Learning Bayesian Models with R
October 2015	['Prasad Kothari']	9781782173175	Data Analysis with Stata
October 2015	['Emilien Kenler', 'Federico Razzoli']	9781783982868	MariaDB Essentials
October 2015	['Mike Barlow']	0636920044284	Learning to Love Data Science
October 2015	['Kirthi Raman']	9781783988327	Mastering Python Data Visualization
October 2015	['Vishal Shukla']	9781785288999	Elasticsearch for Hadoop
October 2015	['Andy Oram']	0636920046325	Managing the Data Lake
October 2015	['Cyrille Rossant']	9781783986989	Learning IPython for Interactive Computing and Data Visualization, 2nd Edition
October 2015	['Bill Hinderman']	9781119067146	Building Responsive Data Visualization for the Web
October 2015	['Julian Villafuerte']	9781782175735	Creating Stunning Dashboards with QlikView
October 2015	['John Jay Hilfiger']	0636920038382	Graphing Data with R
October 2015	['Franklin Lu']	0636920043980	Private and Open Data in Asia: A Regional Guide
October 2015	['Hernan G Resnizky']	9781785280900	Learning Shiny
October 2015	['Molly Monsey', 'Paul Sochan']	9781119134794	Tableau For Dummies
October 2015	['Michael R. Brzustowicz']	0636920043171	Data Science with Java
October 2015	['Ashish Gupta']	9781783284436	Apache Mahout Clustering Designs
October 2015	['Jacqueline  Kazil', 'Katharine Jarmul']	0636920032861	Data Wrangling with Python
September 2015	['Gergely Dar\xc3\xb3czi']	9781783982028	Mastering Data Analysis with R
September 2015	['Luis Augusto Weir', 'Andrew Bell', 'Rolando Carrasco', 'Arturo Viveros']	9781785283635	Oracle API Management 12c Implementation
September 2015	['Mike Frampton']	9781783987146	Mastering Apache Spark
September 2015	['Suresh K. Gorakala', 'Michele Usuelli']	9781783554492	Building a Recommendation System with R
September 2015	['B. Diane Blackwood']	9781784395742	QlikView for Finance
September 2015	['Philip (flip) Kromer', 'Russell Jurney']	0636920039006	Big Data for Chimps
September 2015	['Sumit Gupta']	9781783987665	Learning Real-time Processing with Spark Streaming
September 2015	['Tanmay Deshpande']	9781784393755	DynamoDB Cookbook
September 2015	['Eric Mayor']	9781782169352	Learning Predictive Analytics with R
September 2015	['Sharan Kumar Ravindran', 'Vikram Garg']	9781784396312	Mastering Social Media Mining with R
September 2015	['Sebastian Raschka']	9781783555130	Python Machine Learning
September 2015	['Ken Doman']	9781784396459	Mastering ArcGIS Server Development with JavaScript
September 2015	['Ron Cody']	9781629597706	An Introduction to SAS University Edition
September 2015	['Dan Linstedt', 'Michael Olschimke']	9780128025109	Building a Scalable Data Warehouse with Data Vault 2.0
September 2015	['Branden R. Williams']	9780128046272	PCI DSS 3.1
September 2015	['Alistair Croll']	0636920042471	Music Science
September 2015	['John King', 'Roger Magoulas']	0636920041375	2015 Data Science Salary Survey
September 2015	['Russell Jurney']	0636920041016	Mapping Big Data
September 2015	['Rindra Ramamonjison']	9781784391805	Apache Spark Graph Processing
September 2015	['Steven Feuerstein', 'Bill Pribyl', 'Chip Dawes']	0636920036913	Oracle PL/SQL Language Pocket Reference, 5th Edition
September 2015	['Alice Zheng']	0636920042518	Evaluating Machine Learning Models
September 2015	['Maxwell Dayvson Da Silva', 'Hugo Lopes Tavares']	9781784392451	Redis Essentials
September 2015	['Dmitry Anoshin']	9781785281815	SAP Lumira Essentials
September 2015	['Henry Garner']	9781784397180	Clojure for Data Science
September 2015	['Liza Kindred']	0636920042013	Fashioning Data: A 2015 Update
September 2015	['Thomas Zimmermann', 'Tim Menzies', 'Christian Bird']	9780124115194	The Art and Science of Analyzing Software Data
September 2015	['Janine Barlow']	0636920040910	Data Analytics in Sports
September 2015	['Jean-Marc Spaggiari', "Kevin O'Dell"]	0636920035688	Architecting HBase Applications
September 2015	['Cornelia L\xc3\xa9vy-Bencheton']	0636920042389	Data, Money, and Regulation
August 2015	['Samir Madhavan']	9781784390150	Mastering Python for Data Science
August 2015	['Akhil Arora', 'Shrey Mehrotra']	9781784393960	Learning YARN
August 2015	['Mikhail Gilula']	9780128046319	Structured Search for Big Data
August 2015	['Joe Sremack']	9781785288104	Big Data Forensics – Learning Hadoop Investigations
